uuid,provider,date,max_accuracy,model_name,constraint,best_params,loops_in_model,best_model_duration,all_duration,cost,accuracy,precision,recall,f1
1bab4460-7beb-43b7-be4b-5eb31afe1ba4,a12f6956-9aca-4550-8caa-2e2f9532674c,27/07/2023,0.310344828,cs,2,depth = 3 and min_smaple = 5,0,0.0262028,0.2298296,211,0.24137931,0.5,0.045454545,0.083333333
1bab4460-7beb-43b7-be4b-5eb31afe1ba4,a12f6956-9aca-4550-8caa-2e2f9532674c,27/07/2023,0.827586207,cs,17,depth = 3 and min_smaple = 5,0,0.0257437,0.2305684,94,0.551724138,0.764705882,0.590909091,0.666666667
1bab4460-7beb-43b7-be4b-5eb31afe1ba4,a12f6956-9aca-4550-8caa-2e2f9532674c,27/07/2023,0.310344828,AdaCSL_WRC,2,depth = 3 and min_smaple = 5,35,116.5502978,1196.558615,211,0.24137931,0.5,0.045454545,0.083333333
1bab4460-7beb-43b7-be4b-5eb31afe1ba4,a12f6956-9aca-4550-8caa-2e2f9532674c,27/07/2023,0.827586207,AdaCSL_WRC,17,depth = 3 and min_smaple = 5,20,64.1957067,643.1523716,72,0.689655172,0.882352941,0.681818182,0.769230769
1bab4460-7beb-43b7-be4b-5eb31afe1ba4,a12f6956-9aca-4550-8caa-2e2f9532674c,27/07/2023,0.310344828,cfn=cfp AdaCSL_WRC,2,depth = 3 and min_smaple = 5,3,9.3657435,94.7831511,211,0.24137931,0.5,0.045454545,0.083333333
1bab4460-7beb-43b7-be4b-5eb31afe1ba4,a12f6956-9aca-4550-8caa-2e2f9532674c,27/07/2023,0.827586207,cfn=cfp AdaCSL_WRC,17,depth = 3 and min_smaple = 5,1,2.3656415,23.1616875,72,0.689655172,0.882352941,0.681818182,0.769230769
1bab4460-7beb-43b7-be4b-5eb31afe1ba4,a12f6956-9aca-4550-8caa-2e2f9532674c,28/07/2023,0.448275862,dt,2,depth = 10 and min_smaple = 15,0,0.1005762,0.5617983,171,0.379310345,0.5,0.055555556,0.1
1bab4460-7beb-43b7-be4b-5eb31afe1ba4,a12f6956-9aca-4550-8caa-2e2f9532674c,28/07/2023,0.965517241,dt,17,depth = 10 and min_smaple = 15,0,0.1015563,0.5513401,43,0.75862069,0.823529412,0.777777778,0.8
1bab4460-7beb-43b7-be4b-5eb31afe1ba4,a12f6956-9aca-4550-8caa-2e2f9532674c,28/07/2023,0.448275862,rf,2,depth = 3 and min_smaple = 5,0,0.5828704,8.6132358,160,0.448275862,1,0.111111111,0.2
1bab4460-7beb-43b7-be4b-5eb31afe1ba4,a12f6956-9aca-4550-8caa-2e2f9532674c,28/07/2023,0.965517241,rf,17,depth = 3 and min_smaple = 5,0,0.6001898,8.7163775,32,0.827586207,0.882352941,0.833333333,0.857142857
